chain,pair,sym0,sym1,usd,reason
fantom,0xbd1385c6105b7568bbfa72f772617346b5dd5864,WFTM,EMPIRE_FTM,0.5701181918822548,holds < $10k
cronos,0x5dbc29561e758226b811ef6fe9aa4fa70e5438cf,WCRO,WASP,0.3985049359417533,holds < $10k
cronos,0x28bbe58f4341a81bfc72d89850d2a81d265d99f4,WCRO,MOON,0.3514949311233563,holds < $10k
cronos,0xb8f6e8b9d3f5d1a050ed91ee2c8a9f7260893e03,DOGE,WCRO,0.2846047826951685,holds < $10k
bsc,0x90aa71019c56230b5f935b59d9887a90f3cb089a,upBNB,WBNB,0.2500815285144725,holds < $10k
xdai,0x0e6de8a5d63374243c31e43f15261f09246f6612,testXD,WXDAI,0.21763889679363477,holds < $10k
fantom,0xd87e886448d78c6598863bc0cf3441f66f8d53ec,WFTM,M,0.17053269669391133,holds < $10k
cronos,0xd082c7cab24990643ea1936a14e67b3c9c456367,SHIB,WCRO,0.11623404337637223,holds < $10k
cronos,0xb2ca3b71fa4581f2513c1ec54f4bc201cd0cb6bb,WCRO,test,0.08395022827331028,holds < $10k
bsc,0x6385e69bdf21d0033aecbe63e0c5729ba03275b4,Cake,WBNB,0.07765178293351718,holds < $10k
cronos,0x4f78c644ff2e3a2da62a469b70bab7c734fc7c26,WCRO,HOBBS,0.07639218767634935,holds < $10k
xdai,0xabb34a8632c75a7e436f1c2534caa9c7f0ac8b44,xPRISM,USDC,0.07584076384453005,holds < $10k
fantom,0xc644d16d607b921ed12b2fe2f22e7cfadc3e0742,fUSDT,WFTM,0.06995688509764846,holds < $10k
cronos,0xca419ad965710a73e68a7a8ca3e0c4cb61e1597b,CROSHIBA,WCRO,0.05609834502546311,holds < $10k
cronos,0xfee2fc28b967d02008088ea21f6030a2021116cc,WCRO,EMP-LP,0.053781584647169235,holds < $10k
polygon,0x34269d49a6bb7ab941f82ce84df623d11a7b789e,WPOL,testPDEX,0.013392075343595232,holds < $10k
avax,0x502be733baad680045b867e5b521b15c141ba690,testADEX,WAVAX,0.011371079049514007,holds < $10k
cronos,0xa7bf970f13dd410cb250ea080ce9a4387a78e948,WCRO,DxP,0.010696515068090409,holds < $10k
cronos,0x62d34dacb7acb4071579c3e9f6dae3cce4d49899,WCRO,CROPEPE,0.010570695810919196,holds < $10k
cronos,0x3647d58d7ab7da3673646c09a987c3c7c438d1c0,VVS,WCRO,0.009530916985578168,holds < $10k
cronos,0x822e7bf96f249714347e8ddcb4d4d052c4a3fb5e,WCRO,test,0.00837831646430121,holds < $10k
fantom,0x2711b360898e09cc16ad1f0edfb73335dadd1079,WFTM,TAROT,0.006455664620244567,holds < $10k
bsc,0x853234fc2b9dad5cf404e82bd8c98422f9cedba5,DAF,WBNB,0.003798993379371395,holds < $10k
cronos,0x2aa48abd0fc38a359d341ac6d368b932965e8073,WCRO,BELLE,0.003156033527006505,holds < $10k
kava,0xd5d6f994c2e0a11d548231c155a55b70d6a5d6ca,t9,WKAVA,0.0017010429497745028,holds < $10k
cronos,0x7ce2d23140ae8e32094be68ce8390a1afc87fbf1,test2,WCRO,0.0011408128995478517,holds < $10k
cronos,0x3c000093957b2d5400c78881d31478ab3582dd9e,WCRO,CRODEX,0.000976576668194877,holds < $10k
cronos,0xe6f561a2516874e1fef9badd132d53f30f8d5947,WCRO,test2,0.000932780314147892,holds < $10k
cronos,0x803fe2636fa53cefd5e047b2e419607b62133656,JN,WCRO,0.00044897316310252153,holds < $10k
cronos,0x5d27f80e19cc1426832eb5a837685c9e8acaa3e4,Swapp,WCRO,0.00029707576457797764,holds < $10k
bsc,0x9ac9e607f479471c960f3a8b74a244dd4a8e5753,USDT,ETA,0.00015083877834765497,holds < $10k
fantom,0xe2e1ed606597d70801f54317adad84e92294918b,WFTM,fEDEX,5.07925532264927e-05,holds < $10k
avax,0x6e1f3c7a2f2d388bda44b311236aff244bf68904,WAVAX,MOCKA,1.2637051602986491e-05,holds < $10k
cronos,0xa4cb8ba61b794ce2b68850c201b84814a1ffa33b,EMPIRE,USDC,2.00203123893046e-06,holds < $10k
cronos,0x5188804c244afa118a860ebba75dfad3c2ccdd76,CROISSANT,WCRO,1.6156228968063503e-10,holds < $10k
bsc,0x6649f92278cffa7d5a9f6a3b0e9533eb4e943144,AKA21,WBNB,7.971931029816225e-11,holds < $10k
avax,0x44e12ca76960c516b3bd01509787af67a9437661,EMP-LP,WAVAX,8.315179954756796e-15,holds < $10k
xdai,0xcc816d4874b2dc2e6eeb474e575a7415720b1ee9,WXDAI,EMP-LP,6.316559283919142e-15,holds < $10k
bsc,0xba05498d6915c67e6171f6fdcec08cb6c87600b1,NJOY,WBNB,1.2176092115432896e-15,holds < $10k
bsc,0x2f855b1c942f361bd75db4d47e979a508870a679,FF,WBNB,0.0,holds < $10k
bsc,0xda43e667769dfeb57e3e7f981f224465af3276dd,EMPIRE,WBNB,0.0,holds < $10k
bsc,0xcc296f7956fbff41cdab5ad868a2146a1c7824b2,EMPIRE,WBNB,0.0,holds < $10k
bsc,0xc500ec4d1e0ea80af0236ef02d889b6d881ff204,EMPIRE,WBNB,0.0,holds < $10k
bsc,0x7cc694f1f4d9fddabb7f7942b83a3bbd2fcb0a22,WBNB,EMPIRE,0.0,holds < $10k
fantom,0x0e3fe2a0528d94abd885716e6daacb8860235761,WFTM,testFDEX,0.0,holds < $10k
fantom,0x1808f13319ab4236f2748e1f693e7c87cc327fb6,e,WFTM,0.0,holds < $10k
fantom,0x93962674268d1218d7574e0222694c7127018561,WFTM,EMPIRE,0.0,holds < $10k
avax,0xa158366d99e90484902fc00048a0bda715153382,WAVAX,EMPIRE,0.0,holds < $10k
polygon,0x928bd369f854d34f7b942859a1769071063fa7c9,WPOL,EMPIRE,0.0,holds < $10k
xdai,0x5d565e314b42de3e8239b9ce1655194931fdd9ba,EMPIRE,WXDAI,0.0,holds < $10k
cronos,0x1259df716a244e1b611e65bd75ca3b625e8bd3f4,WCRO,test,0.0,holds < $10k
cronos,0x3a839ea0e3e7d97b713844d038ef7c4abbdca0d3,WCRO,DADDY,0.0,holds < $10k
cronos,0xb91f9daeeef053e8bbcc69e4e63c964b30424aad,WCRO,EMPIRE,0.0,holds < $10k
cronos,0xb51fbf360ad2292b84fe6b6a10df862de1ab6343,WCRO,EMPIRE,0.0,holds < $10k
kava,0x7201e49e96d903ffed8e6db353c30c993f6af910,WKAVA,EMPIRE,0.0,holds < $10k
bsc,0x6688349f8e74c03c422f79254e8126280be5e484,EMPIRE,EMP-LP,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
bsc,0xadb7a32bbc7eef58ca1a60ca1256f028603b01c9,bPRISM,EMPIRE,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
bsc,0x272f05b7c13bc1a1ef561c004dfe510d051c7bcc,EMPIRE,DOLPH,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
bsc,0x21e27c5da72d5653ea65af7d2b63ec1c78aff21e,bPRISM,DOLPH,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
bsc,0x47d2db6885017c9ca4eb72fcdd358d9c16515fed,ADMC,EMPIRE,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
bsc,0xda8158e10a3281dc17af4a04dd6735710db4427f,NJOY,EMPIRE,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
bsc,0x9ca805abca2af73813cae56b782d6dd91dff89a4,EMPIRE,MetaBC,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
bsc,0xb496aa58e1060e9cafefd5a4bf719aaf9f4fd5e1,ADMC,ECC,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
fantom,0x1218a2f1ce880c01d174c6b1aeb7f2115a152fa1,USDC,ELITE,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
fantom,0xb7f9f3450e975ecbca458a83a940d14bb48cfe31,EMP-LP,eFDEX,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
fantom,0xb773731f5c2425167edf2384fca215f02565ddde,eFDEX,fPRISM,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
fantom,0x2e8fba70d5d475d2653be689931786d36d0cfa1c,ETH,fPRISM,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
avax,0xe4b37ef0add9a7532ac513d4637d8fc0f4129d44,EMP-LP,eADEX,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
avax,0xed3915ee1587595e81ada81d82c298122b4ae8a9,aPRISM,eADEX,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
avax,0x96be123af00673182082c342c82aadf5bb9299a4,OcDa,SMRT,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
avax,0xd26614ab3971fb94b9f000f14e7cc3d463c585d1,OcDa,SING,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
avax,0x048f809f407f0f6fc4ff8708bb281fd8b4007847,eADEX,SING,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
avax,0xa8901ac09cc2a04379cc8d7792ba59289204c461,eADEX,SMRT,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
polygon,0xb773731f5c2425167edf2384fca215f02565ddde,PDEX,pPRISM,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
polygon,0x78fb682998adbf7d9a7606aaf762ed23e466dbfa,EMP-LP,PDEX,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
polygon,0x7e9b593e03cb01bbcec3b6b87aca8657f8936fb8,HDLR,PDEX,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
polygon,0xbc2bc26592ae68a2accbce11ec96c35a25c8319f,nCROCARMS,cMATICalpha,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
xdai,0xb773731f5c2425167edf2384fca215f02565ddde,XDEX,xPRISM,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
xdai,0xd70a028b42132e55d1c3c6a1890e9c478d559c24,XDEX,EMP-LP,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
cronos,0xe973711fecc41d6a2d88548dac37b43bbe65c1ed,EMPIRE,EMP-LP,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
cronos,0xa729236bc8f683667cdd551ffc8e4c168a7a9540,EMPIRE,croPRISM,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
cronos,0x9ae1773fcf688c52114b074a2f9fb6167be4b59c,DNA,DBOND,,unpriced by DefiLlama; reserves inspected manually and are dust (see below)
